Compound,Smiles,pka,prot_smiles,deprot_smiles,acid_base_type,acid_base_string,prot_charge,deprot_charge,CH_strength,XH_strength,HBA_strength,Hyd_Apolar,Hyd_Polar,Hyd,NCCC,CCNC,CCCO,CCNN,NCCN,CNNC,CNCN,NCCO,CNCO,CNNN,NCNN,CCSO,NCSO,nA,nN,nD,nC,nF,nQ,nG,nH,nI,nP,nL,nK,nM,nT,nY,nV,nW,LipinskiFailures,nBase,ALogp2,nAcid,nRings4,nRings7,tpsaEfficiency,WTPT.5,PetitjeanNumber,MDEC.44,MDEO.11,MDEO.12,MDEN.11,MDEN.12,MDEN.13,MDEN.23,MDEN.33,khs.sCH3,khs.dCH2,khs.tCH,khs.dsCH,khs.sssCH,khs.ddC,khs.dssC,khs.aaaC,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sPH2,khs.dsssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sssdAs,khs.sBr,khs.sI,HybRatio,FMF,SC.6,VC.4,VC.6,VCH.4,VCH.7,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,nHBDon,nHBAcc,apol
4802,O=C(O)C1CCCCn2nnnc21,3.400000095,O=C(O)C1CCCCn2nnnc21,O=C([O-])C1CCCCn2nnnc21,acidic,A,0,-1,5.1832,1.1841,3.1015,-0.660325048,-14.54782505,-12.13802581,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24850225,3,0,1,0.444309277,12.64504868,0.4,0,0.5,0,0,0,0,1.889881575,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0.769230769,0,0,0,0,0.032103434,0,0,2,0,0,1,3,1,0,1,5,24.99193
4912,O=C(O)Cc1nnnn1-c1ccccc1,3.099999905,O=C(O)Cc1nnnn1-c1ccccc1,O=C([O-])Cc1nnnn1-c1ccccc1,acidic,A,0,-1,5.0874,1.1309,2.9717,-2.025573614,-14.18508604,-13.58824092,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23587689,3,0,0,0.396442843,12.65419355,0.5,0,0.5,0,0,0,0,1.889881575,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.733333333,0,0,0,0,0.040033524,0,0,2,6,0,0,1,0,0,1,5,27.178344
4916,O=C(O)Cn1cnnn1,2.269999981,O=C(O)Cn1cnnn1,O=C([O-])Cn1cnnn1,acidic,A,0,-1,3.1485,1.2889,2.508,-0.648064054,-11.83200287,-10.51111377,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.70778569,3,0,0,0.631866247,12.192296,0.4,0,0.5,0,0,0,0,1.889881575,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.555555556,0,0,0,0,0.008164966,0,0,1,0,0,1,0,0,0,1,5,13.951172
4917,O=C(O)Cn1ncnn1,2.119999886,O=C(O)Cn1ncnn1,O=C([O-])Cn1ncnn1,acidic,A,0,-1,3.1885,1.3257,2.5301,-0.645626195,-11.83424952,-10.2959608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.19820304,3,0,0,0.631866247,12.21286741,0.4,0,0.5,0,0,0,0,2.381101578,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.555555556,0,0,0,0,0.008164966,0,0,1,0,0,1,0,0,0,1,5,13.951172
4918,O=C(O)Cn1nnnc1-c1ccccc1,2.109999895,O=C(O)Cn1nnnc1-c1ccccc1,O=C([O-])Cn1nnnc1-c1ccccc1,acidic,A,0,-1,5.2536,1.1555,2.9829,-2.025597514,-14.27172562,-13.24529159,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.17462244,3,0,0,0.396442843,12.59588792,0.5,0,0.5,0,0,0,0,1.889881575,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.733333333,0,0,0,0,0.041726648,0,0,2,5,1,1,0,0,0,1,5,27.178344
8,Brc1ccc(Cc2nn[nH]n2)cc1,4.619999886,Brc1ccc(Cc2nn[nH]n2)cc1,Brc1ccc(Cc2nn[n-]n2)cc1,acidic,A,0,-1,3.93,0.9639,2.2052,-1.385994264,-9.887619503,-8.729827916,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45294404,2,0,0,0.228837559,11.98337279,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.125,0.923076923,0,0,0,0,0.082102022,0,0,1,5,1,0,1,0,0,1,3,26.197551
16,Brc1cccc(-c2nn[nH]n2)c1,3.819999933,Brc1cccc(-c2nn[nH]n2)c1,Brc1cccc(-c2nn[n-]n2)c1,acidic,A,0,-1,2.9963,1.0083,2.0377,-1.650310707,-9.029875717,-8.40499522,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19348484,2,0,0,0.243157828,12.01796469,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.916666667,0,0,0,0,0.081353306,0,0,1,5,1,0,0,0,0,1,3,23.103965
36,Brc1nn[nH]n1,2.130000114,Brc1nn[nH]n1,Brc1nn[n-]n1,acidic,A,0,-1,0,1.1645,1.0997,-0.267853728,-3.970650096,-3.967686424,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41460721,2,0,0,0.368126048,11.58148123,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.876793
776,CC(C)c1nn[nH]n1,5.550000191,CC(C)c1nn[nH]n1,CC(C)c1nn[n-]n1,acidic,A,0,-1,3.3295,0.8954,2.1591,0.075215105,-8.98831262,-5.831572658,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60575089,2,0,0,0.485925054,11.79716377,0.5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.625,0,0,0,0,0.025819889,0,0,1,0,0,2,0,1,0,1,3,16.774344
1128,CCC12CCC(=O)C=C1c1c(cc(OCc3nn[nH]n3)c(Cl)c1Cl)C2,3.720000029,CCC12CCC(=O)C=C1c1c(cc(OCc3nn[nH]n3)c(Cl)c1Cl)C2,CCC12CCC(=O)C=C1c1c(cc(OCc3nn[n-]n3)c(Cl)c1Cl)C2,acidic,A,0,-1,7.7489,0.9686,3.6158,-1.972155832,-17.29404876,-15.5917782,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39683049,2,0,0,0.213614043,11.9737004,0.5,0,0,0.125,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.411764706,0.8,0.041666667,0.088388348,0.025515518,0,0.441049673,0,0,1,6,3,2,4,0,1,1,4,50.952688
1228,CCCCCCCCCCCCN(Cc1nn[nH]n1)c1ccccc1,4.920000076,CCCCCCCCCCCCN(Cc1nn[nH]n1)c1ccccc1,CCCCCCCCCCCCN(Cc1nn[n-]n1)c1ccccc1,acidic,A,0,-1,8.7434,0.7868,3.1174,1.28585086,-13.65552103,-7.489316444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42.315025,2,0,0,0.168087498,15.51276081,0.5,0,0,0,0,0,0,1.154700538,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.52,0,0,0,0,0.021415451,0,0,1,6,0,3,10,0,0,1,4,62.704169
1243,CCCCCCCCCCN(Cc1nn[nH]n1)c1ccccc1,4.869999886,CCCCCCCCCCN(Cc1nn[nH]n1)c1ccccc1,CCCCCCCCCCN(Cc1nn[n-]n1)c1ccccc1,acidic,A,0,-1,8.3719,0.7695,3.164,0.756046845,-13.77478489,-8.026983748,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31.27717476,2,0,0,0.183033815,15.51232111,0.5,0,0,0,0,0,0,1.154700538,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611111111,0.565217391,0,0,0,0,0.021415451,0,0,1,6,0,3,8,0,0,1,4,56.516997
1264,CCCCCCCCN(Cc1nn[nH]n1)c1ccccc1,4.829999924,CCCCCCCCN(Cc1nn[nH]n1)c1ccccc1,CCCCCCCCN(Cc1nn[n-]n1)c1ccccc1,acidic,A,0,-1,7.6957,0.7821,3.1084,0.225693117,-13.46381453,-8.387165392,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21.90427204,2,0,0,0.200897601,15.51056233,0.5,0,0,0,0,0,0,1.154700538,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0.619047619,0,0,0,0,0.021415451,0,0,1,6,0,3,6,0,0,1,4,50.329825
1290,CCCCCCN(Cc1nn[nH]n1)c1ccccc1,4.78000021,CCCCCCN(Cc1nn[nH]n1)c1ccccc1,CCCCCCN(Cc1nn[n-]n1)c1ccccc1,acidic,A,0,-1,7.1477,0.802,3.0698,-0.304445507,-13.2417782,-8.83415392,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19631684,2,0,0,0.222625464,15.50352719,0.5,0,0,0,0,0,0,1.154700538,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.684210526,0,0,0,0,0.021415451,0,0,1,6,0,3,4,0,0,1,4,44.142653
1551,CCN(CC)c1nn[nH]n1,6.329999924,CCN(CC)c1nn[nH]n1,CCN(CC)c1nn[n-]n1,acidic,A,0,-1,4.3886,0.8606,2.9107,0.256763862,-12.01498566,-6.104684512,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12402404,2,0,0,0.408925648,15.15669316,0.4,0,0,0,0,0,0,1.632993162,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.5,0,0,0,0,0.014142136,0,0,0,0,0,4,0,0,0,1,4,21.634723
1932,CCn1nnnc1NC(C)=O,8.380000114,CCn1nnnc1NC(C)=O,CCn1nnnc1[N-]C(C)=O,acidic,A,0,-1,4.5785,0.767,2.9845,-0.138695029,-12.96326482,-10.22839388,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24990001,2,0,0,0.468788156,15.2710738,0.5,0,0,0,0,0,0,2.37841423,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.454545455,0,0,0,0,0.026213203,0,0,1,0,0,3,0,0,0,1,5,21.103137
2004,CN(C)c1nn[nH]n1,5.920000076,CN(C)c1nn[nH]n1,CN(C)c1nn[n-]n1,acidic,A,0,-1,3.4667,0.9473,2.6823,-0.27581262,-10.98128585,-6.462619503,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13147876,2,0,0,0.510302696,14.795508,0.5,0,0,0,0,0,0,1.632993162,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.625,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,1,4,15.447551
2126,CNc1nn[nH]n1,6.059999943,CNc1nn[nH]n1,CNc1nn[n-]n1,acidic,A,0,-1,2.0266,1.9819,2.5779,-0.511639579,-10.62287285,-9.036400574,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28E-05,2,0,0,0.671246669,14.50489457,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.714285714,0,0,0,0,0.01118034,0,0,0,0,0,0,0,0,0,2,4,12.353965
2269,CO[C@H]1C(=O)N2C(C(=O)C(C)(C)C)=C(C)C(Sc3nnnn3C)S(=O)(=O)[C@H]12,7.900000095,CO[C@H]1C(=O)N2C(C(=O)C(C)(C)C)=C(C)C(Sc3nnnn3C)S(=O)(=O)[C@H]12,CO[C@H]1C(=O)N2C(C(=O)C(C)(C)C)=C(C)[C-](Sc3nnnn3C)S(=O)(=O)[C@H]12,acidic,A,0,-1,12.5201,0,5.8774,0.152390057,-28.06704111,-18.30960803,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.77528976,2,1,0,0.380704902,15.68543272,0.444444444,0,1.315560521,0.970983543,0,0,0,1.846786524,0.166666667,6,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,1,0,1,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.666666667,0.518518519,0.290263604,0.283999448,0.080629981,0.074535599,0.489772668,0,0,1,2,1,6,1,0,1,0,9,55.712653
2271,CO[C@H]1C(=O)N2C(C(=O)C(C)(C)C)=C(CSc3nnnn3C)CS(=O)(=O)[C@H]12,11.60000038,CO[C@H]1C(=O)N2C(C(=O)C(C)(C)C)=C(CSc3nnnn3C)CS(=O)(=O)[C@H]12,CO[C-]1C(=O)N2C(C(=O)C(C)(C)C)=C(CSc3nnnn3C)CS(=O)(=O)[C@H]12,acidic,A,0,-1,13.3452,0,6.1814,0.151434034,-29.67968451,-18.5917543,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33802596,2,1,0,0.380704902,15.68924592,0.454545455,0,1.315560521,0.970983543,0,0,0,1.846786524,0.166666667,5,0,0,0,2,0,4,0,0,0,0,0,0,0,0,3,1,0,1,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.666666667,0.555555556,0.234708048,0.291640649,0.061782606,0.074535599,0.45452228,0,0,1,2,1,6,1,0,1,0,9,55.712653
2273,CO[C@H]1C(=O)N2C(C(=O)c3ccccc3)=C(CSc3nnnn3C)CS(=O)(=O)[C@H]12,8.399999619,CO[C@H]1C(=O)N2C(C(=O)c3ccccc3)=C(CSc3nnnn3C)CS(=O)(=O)[C@H]12,CO[C-]1C(=O)N2C(C(=O)c3ccccc3)=C(CSc3nnnn3C)CS(=O)(=O)[C@H]12,acidic,A,0,-1,12.4366,0,5.8071,-2.273231358,-28.17638623,-20.83377151,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.720801,2,1,0,0.363231318,15.70665948,0.454545455,0,1.315560521,0.970983543,0,0,0,1.846786524,0.166666667,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,3,1,0,1,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.352941176,0.75862069,0.068041382,0.041640649,0.010751569,0.074535599,0.470559788,0,0,1,7,2,3,1,0,0,0,9,56.565481
2400,COc1ccc(-c2nn[nH]n2)cc1,4.230000019,COc1ccc(-c2nn[nH]n2)cc1,COc1ccc(-c2nn[n-]n2)cc1,acidic,A,0,-1,4.4539,0.9577,2.6622,-1.916085086,-12.00535373,-11.39225621,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.646089,2,0,0,0.361731518,12.02931772,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.846153846,0,0,0,0,0.038139064,0,0,1,5,1,0,0,0,0,1,3,24.616344
